"Taxon Name", "Synonym", "Name According to"
"Crepis elegans", "Askellia elegans (Hooker) W.A. Weber", "Weber, W.A. 1984. New names and new combinations, principally in the Rocky Mountain flora--IV. Phytologia 55 (1): 1-11."
"Crypsis schoenoides", "Sporobolus schoenoides (Linnaeus) P.M. Peterson", "Peterson P.M., K. Romaschenko, Y.H. Arrieta & J.M. Saarela. 2014. A molecular phylogeny and new subgeneric classification of Sporobolus (Poaceae: Chloridoideae: Sporobolinae). Taxon 63 :1212–1243"
"Deschampsia flexuosa", "Avenella flexuosa (Linnaeus) Drejer", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Dichanthelium acuminatum subsp. acuminatum", "Dichanthelium acuminatum (Swartz) Gould & C.A. Clark", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Dichanthelium acuminatum subsp. columbianum", "Dichanthelium portoricense (Desvaux ex Hamilton) B.F. Hansen & Wunderlin", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Dichanthelium acuminatum subsp. fasciculatum", "Dichanthelium lanuginosum (Elliott) Gould", "Thomas, J.R. 2015. Revision of Dichanthelium sect. Lanuginosa (Poaceae). Phytoneuron 2015-10: 1-58"
"Dichanthelium acuminatum subsp. implicatum", "Dichanthelium implicatum (Scribner) Kerguélen", "Thomas, J.R. 2015. Revision of Dichanthelium sect. Lanuginosa (Poaceae). Phytoneuron 2015-10: 1-58"
"Dichanthelium acuminatum subsp. lindheimeri", "Dichanthelium lindheimeri (Nash) Gould", "Thomas, J.R. 2015. Revision of Dichanthelium sect. Lanuginosa (Poaceae). Phytoneuron 2015-10: 1-58"
"Dichanthelium acuminatum subsp. longiligulatum", "Dichanthelium longiligulatum (Nash) Freckmann", "Thomas, J.R. 2015. Revision of Dichanthelium sect. Lanuginosa (Poaceae). Phytoneuron 2015-10: 1-58"
"Dichanthelium acuminatum subsp. sericeum", "Dichanthelium thermale subsp. sericeum (Schmoll) J.R. Thomas", "Thomas, J.R. 2015. Revision of Dichanthelium sect. Lanuginosa (Poaceae). Phytoneuron 2015-10: 1-58"
