"","Volume","Taxon name"
"Artemisia frigida","Volume 19","Artemisia frigida"
"Artemisia ludoviciana","Volume 19","Artemisia ludoviciana"
"Artemisia ludoviciana subsp. ludoviciana","Volume 19","Artemisia ludoviciana subsp. ludoviciana"
"Artemisia pontica","Volume 19","Artemisia pontica"
"Artemisia stelleriana","Volume 19","Artemisia stelleriana"
"Artemisia tilesii","Volume 19","Artemisia tilesii"
"Artemisia vulgaris","Volume 19","Artemisia vulgaris"
"Aruncus dioicus","Volume 9","Aruncus dioicus"
"Aruncus dioicus var. vulgaris","Volume 9","Aruncus dioicus var. vulgaris"
"Asarum canadense","Volume 3","Asarum canadense"
"Asparagus officinalis","Volume 26","Asparagus officinalis"
"Aspidotis densa","Volume 2","Aspidotis densa"
"Asplenium platyneuron","Volume 2","Asplenium platyneuron"
"Asplenium rhizophyllum","Volume 2","Asplenium rhizophyllum"
"Asplenium ruta-muraria","Volume 2","Asplenium ruta-muraria"
"Asplenium trichomanes","Volume 2","Asplenium trichomanes"
"Asplenium trichomanes subsp. quadrivalens","Volume 2","Asplenium trichomanes subsp. quadrivalens"
"Asplenium trichomanes subsp. trichomanes","Volume 2","Asplenium trichomanes subsp. trichomanes"
"Asplenium trichomanes-ramosum","Volume 2","Asplenium trichomanes-ramosum"
"Athyrium distentifolium","Volume 2","Athyrium distentifolium"
"Athyrium distentifolium var. americanum","Volume 2","Athyrium distentifolium var. americanum"
"Athyrium filix-femina","Volume 2","Athyrium filix-femina"
"Athyrium filix-femina var. angustum","Volume 2","Athyrium filix-femina var. angustum"
"Athyrium filix-femina var. cyclosorum","Volume 2","Athyrium filix-femina var. cyclosorum"
"Atrichum altecristatum","Volume 27","Atrichum altecristatum"
"Atrichum angustatum","Volume 27","Atrichum angustatum"
"Atrichum crispulum","Volume 27","Atrichum crispulum"
"Atrichum crispum","Volume 27","Atrichum crispum"
"Atrichum tenellum","Volume 27","Atrichum tenellum"
"Atriplex dioica","Volume 4","Atriplex dioica"
"Atriplex glabriuscula","Volume 4","Atriplex glabriuscula"
"Atriplex glabriuscula var. acadiensis","Volume 4","Atriplex glabriuscula var. acadiensis"
"Atriplex glabriuscula var. glabriuscula","Volume 4","Atriplex glabriuscula var. glabriuscula"
"Atriplex heterosperma","Volume 4","Atriplex heterosperma"
"Atriplex hortensis","Volume 4","Atriplex hortensis"
"Atriplex laciniata","Volume 4","Atriplex laciniata"
"Atriplex patula","Volume 4","Atriplex patula"
"Atriplex prostrata","Volume 4","Atriplex prostrata"
"Aulacomnium acuminatum","Volume 28","Aulacomnium acuminatum"
"Aulacomnium androgynum","Volume 28","Aulacomnium androgynum"
"Aulacomnium palustre","Volume 28","Aulacomnium palustre"
"Aulacomnium turgidum","Volume 28","Aulacomnium turgidum"
"Aurinia saxatilis","Volume 7","Aurinia saxatilis"
"Avena","Volume 24","Avena"
"Avena fatua","Volume 24","Avena fatua"
"Avena sativa","Volume 24","Avena sativa"
"Avena sterilis","Volume 24","Avena sterilis"
"Avenula","Volume 24","Avenula"
"Avenula hookeri","Volume 24","Avenula hookeri"
"Avenula pubescens","Volume 24","Avenula pubescens"
"Axyris amaranthoides","Volume 4","Axyris amaranthoides"
"Barbarea orthoceras","Volume 7","Barbarea orthoceras"
"Barbarea stricta","Volume 7","Barbarea stricta"
"Barbarea vulgaris","Volume 7","Barbarea vulgaris"
"Barbula convoluta var. convoluta","Volume 27","Barbula convoluta var. convoluta"
"Barbula unguiculata","Volume 27","Barbula unguiculata"
"Bartramia ithyphylla","Volume 28","Bartramia ithyphylla"
"Bartramia pomiformis","Volume 28","Bartramia pomiformis"
"Bartsia alpina","Volume 17","Bartsia alpina"
"Beckmannia","Volume 24","Beckmannia"
"Beckmannia syzigachne","Volume 24","Beckmannia syzigachne"
"Bellis perennis","Volume 20","Bellis perennis"
"Berberis vulgaris","Volume 3","Berberis vulgaris"
"Berteroa incana","Volume 7","Berteroa incana"
"Betula alleghaniensis","Volume 3","Betula alleghaniensis"
"Betula cordifolia","Volume 3","Betula cordifolia"
"Betula glandulosa","Volume 3","Betula glandulosa"
"Betula michauxii","Volume 3","Betula michauxii"
"Betula minor","Volume 3","Betula minor"
"Betula papyrifera","Volume 3","Betula papyrifera"
"Betula populifolia","Volume 3","Betula populifolia"
"Betula pumila","Volume 3","Betula pumila"
"Bidens beckii","Volume 21","Bidens beckii"
"Bidens cernua","Volume 21","Bidens cernua"
"Bidens connata","Volume 21","Bidens connata"
"Bidens discoidea","Volume 21","Bidens discoidea"
"Bidens eatonii","Volume 21","Bidens eatonii"
"Bidens frondosa","Volume 21","Bidens frondosa"
"Bidens heterodoxa","Volume 21","Bidens heterodoxa"
"Bidens hyperborea","Volume 21","Bidens hyperborea"
"Bidens pilosa","Volume 21","Bidens pilosa"
"Bidens trichosperma","Volume 21","Bidens trichosperma"
"Bidens tripartita","Volume 21","Bidens tripartita"
"Bidens vulgata","Volume 21","Bidens vulgata"
"Bistorta vivipara","Volume 5","Bistorta vivipara"
"Blindia acuta","Volume 27","Blindia acuta"
"Blysmopsis rufa","Volume 23","Blysmopsis rufa"
"Boechera canadensis","Volume 7","Boechera canadensis"
"Boechera collinsii","Volume 7","Boechera collinsii"
"Boechera grahamii","Volume 7","Boechera grahamii"
"Boechera laevigata","Volume 7","Boechera laevigata"
"Boechera quebecensis","Volume 7","Boechera quebecensis"
"Boechera retrofracta","Volume 7","Boechera retrofracta"
"Boechera stricta","Volume 7","Boechera stricta"
"Boehmeria cylindrica","Volume 3","Boehmeria cylindrica"
"Bolboschoenus fluviatilis","Volume 23","Bolboschoenus fluviatilis"
"Bolboschoenus maritimus","Volume 23","Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. maritimus","Volume 23","Bolboschoenus maritimus subsp. maritimus"
