"","Volume","Taxon name"
"Glyceria borealis","Volume 24","Glyceria borealis"
"Glyceria canadensis","Volume 24","Glyceria canadensis"
"Glyceria canadensis var. canadensis","Volume 24","Glyceria canadensis var. canadensis"
"Glyceria canadensis var. laxa","Volume 24","Glyceria canadensis var. laxa"
"Glyceria elata","Volume 24","Glyceria elata"
"Glyceria notata","Volume 24","Glyceria notata"
"Glyceria sect. Glyceria","Volume 24","Glyceria sect. Glyceria"
"Glyceria sect. Hydropoa","Volume 24","Glyceria sect. Hydropoa"
"Glyceria sect. Striatae","Volume 24","Glyceria sect. Striatae"
"Glyceria striata","Volume 24","Glyceria striata"
"Goodyera repens","Volume 26","Goodyera repens"
"Grimmia longirostris","Volume 27","Grimmia longirostris"
"Grimmia sessitana","Volume 27","Grimmia sessitana"
"Grimmia torquata","Volume 27","Grimmia torquata"
"Harrimanella hypnoides","Volume 8","Harrimanella hypnoides"
"Hedwigia ciliata","Volume 28","Hedwigia ciliata"
"Hennediella heimii var. heimii","Volume 27","Hennediella heimii var. heimii"
"Herzogiella striatella","Volume 28","Herzogiella striatella"
"Herzogiella turfacea","Volume 28","Herzogiella turfacea"
"Heterocladium dimorphum","Volume 28","Heterocladium dimorphum"
"Hieracium aurantiacum","Volume 19","Hieracium aurantiacum"
"Hieracium umbellatum","Volume 19","Hieracium umbellatum"
"Hieracium vulgatum","Volume 19","Hieracium vulgatum"
"Hippuris vulgaris","Volume 17","Hippuris vulgaris"
"Homalia trichomanoides var. trichomanoides","Volume 28","Homalia trichomanoides var. trichomanoides"
"Hordeum","Volume 24","Hordeum"
"Hordeum brachyantherum","Volume 24","Hordeum brachyantherum"
"Hordeum brachyantherum subsp. brachyantherum","Volume 24","Hordeum brachyantherum subsp. brachyantherum"
