"","Volume","Taxon name"
"Carex brunnescens subsp. sphaerostachya","Volume 23","Carex brunnescens subsp. sphaerostachya"
"Carex bullata","Volume 23","Carex bullata"
"Carex buxbaumii","Volume 23","Carex buxbaumii"
"Carex canescens","Volume 23","Carex canescens"
"Carex canescens subsp. canescens","Volume 23","Carex canescens subsp. canescens"
"Carex canescens subsp. disjuncta","Volume 23","Carex canescens subsp. disjuncta"
"Carex capillaris","Volume 23","Carex capillaris"
"Carex castanea","Volume 23","Carex castanea"
"Carex communis","Volume 23","Carex communis"
"Carex communis var. communis","Volume 23","Carex communis var. communis"
"Carex conoidea","Volume 23","Carex conoidea"
"Carex crawfordii","Volume 23","Carex crawfordii"
"Carex crinita","Volume 23","Carex crinita"
"Carex crinita var. crinita","Volume 23","Carex crinita var. crinita"
"Carex cryptolepis","Volume 23","Carex cryptolepis"
"Carex cumulata","Volume 23","Carex cumulata"
"Carex debilis","Volume 23","Carex debilis"
"Carex debilis var. rudgei","Volume 23","Carex debilis var. rudgei"
"Carex deflexa","Volume 23","Carex deflexa"
"Carex deflexa var. deflexa","Volume 23","Carex deflexa var. deflexa"
"Carex deweyana","Volume 23","Carex deweyana"
"Carex deweyana var. deweyana","Volume 23","Carex deweyana var. deweyana"
"Carex diandra","Volume 23","Carex diandra"
"Carex digitalis","Volume 23","Carex digitalis"
"Carex digitalis var. digitalis","Volume 23","Carex digitalis var. digitalis"
"Carex disperma","Volume 23","Carex disperma"
"Carex eburnea","Volume 23","Carex eburnea"
"Carex echinata","Volume 23","Carex echinata"
"Carex echinata subsp. echinata","Volume 23","Carex echinata subsp. echinata"
"Carex exilis","Volume 23","Carex exilis"
"Carex flacca","Volume 23","Carex flacca"
"Carex flava","Volume 23","Carex flava"
"Carex foenea","Volume 23","Carex foenea"
"Carex folliculata","Volume 23","Carex folliculata"
"Carex gracillima","Volume 23","Carex gracillima"
"Carex granularis","Volume 23","Carex granularis"
"Carex gynandra","Volume 23","Carex gynandra"
"Carex gynocrates","Volume 23","Carex gynocrates"
"Carex hirta","Volume 23","Carex hirta"
"Carex hirtifolia","Volume 23","Carex hirtifolia"
"Carex hormathodes","Volume 23","Carex hormathodes"
"Carex houghtoniana","Volume 23","Carex houghtoniana"
"Carex hystericina","Volume 23","Carex hystericina"
"Carex interior","Volume 23","Carex interior"
"Carex intumescens","Volume 23","Carex intumescens"
"Carex lacustris","Volume 23","Carex lacustris"
"Carex lasiocarpa","Volume 23","Carex lasiocarpa"
"Carex laxiflora","Volume 23","Carex laxiflora"
"Carex lenticularis","Volume 23","Carex lenticularis"
"Carex lenticularis var. lenticularis","Volume 23","Carex lenticularis var. lenticularis"
"Carex leptalea","Volume 23","Carex leptalea"
"Carex leptonervia","Volume 23","Carex leptonervia"
"Carex limosa","Volume 23","Carex limosa"
"Carex livida","Volume 23","Carex livida"
"Carex longii","Volume 23","Carex longii"
"Carex lucorum","Volume 23","Carex lucorum"
"Carex lucorum var. lucorum","Volume 23","Carex lucorum var. lucorum"
"Carex lupulina","Volume 23","Carex lupulina"
"Carex lurida","Volume 23","Carex lurida"
"Carex mackenziei","Volume 23","Carex mackenziei"
"Carex magellanica","Volume 23","Carex magellanica"
"Carex magellanica subsp. irrigua","Volume 23","Carex magellanica subsp. irrigua"
"Carex michauxiana","Volume 23","Carex michauxiana"
"Carex nigra","Volume 23","Carex nigra"
"Carex novae-angliae","Volume 23","Carex novae-angliae"
"Carex oligosperma","Volume 23","Carex oligosperma"
"Carex ovalis","Volume 23","Carex ovalis"
"Carex paleacea","Volume 23","Carex paleacea"
"Carex pallescens","Volume 23","Carex pallescens"
"Carex panicea","Volume 23","Carex panicea"
"Carex pauciflora","Volume 23","Carex pauciflora"
"Carex peckii","Volume 23","Carex peckii"
"Carex pedunculata","Volume 23","Carex pedunculata"
"Carex prairea","Volume 23","Carex prairea"
"Carex pseudocyperus","Volume 23","Carex pseudocyperus"
"Carex radiata","Volume 23","Carex radiata"
"Carex recta","Volume 23","Carex recta"
"Carex rosea","Volume 23","Carex rosea"
"Carex rostrata","Volume 23","Carex rostrata"
"Carex saxatilis","Volume 23","Carex saxatilis"
"Carex scabrata","Volume 23","Carex scabrata"
"Carex scirpoidea","Volume 23","Carex scirpoidea"
"Carex scirpoidea subsp. scirpoidea","Volume 23","Carex scirpoidea subsp. scirpoidea"
"Carex scoparia","Volume 23","Carex scoparia"
"Carex scoparia var. scoparia","Volume 23","Carex scoparia var. scoparia"
"Carex silicea","Volume 23","Carex silicea"
"Carex spicata","Volume 23","Carex spicata"
"Carex stipata","Volume 23","Carex stipata"
"Carex stipata var. stipata","Volume 23","Carex stipata var. stipata"
"Carex stricta","Volume 23","Carex stricta"
"Carex swanii","Volume 23","Carex swanii"
"Carex tenera","Volume 23","Carex tenera"
"Carex tenera var. tenera","Volume 23","Carex tenera var. tenera"
"Carex tincta","Volume 23","Carex tincta"
"Carex tonsa","Volume 23","Carex tonsa"
"Carex tonsa var. rugosperma","Volume 23","Carex tonsa var. rugosperma"
"Carex tonsa var. tonsa","Volume 23","Carex tonsa var. tonsa"
"Carex tribuloides","Volume 23","Carex tribuloides"
"Carex tribuloides var. tribuloides","Volume 23","Carex tribuloides var. tribuloides"
"Carex trisperma","Volume 23","Carex trisperma"
"Carex umbellata","Volume 23","Carex umbellata"
"Carex utriculata","Volume 23","Carex utriculata"
"Carex vacillans","Volume 23","Carex vacillans"
"Carex vesicaria","Volume 23","Carex vesicaria"
"Carex viridula","Volume 23","Carex viridula"
"Carex viridula subsp. oedocarpa","Volume 23","Carex viridula subsp. oedocarpa"
"Carex viridula var. elatior","Volume 23","Carex viridula var. elatior"
"Carex viridula var. saxilittoralis","Volume 23","Carex viridula var. saxilittoralis"
"Carex viridula var. viridula","Volume 23","Carex viridula var. viridula"
"Carex vulpinoidea","Volume 23","Carex vulpinoidea"
"Carex wiegandii","Volume 23","Carex wiegandii"
"Centaurea benedicta","Volume 19","Centaurea benedicta"
"Centaurea cyanus","Volume 19","Centaurea cyanus"
"Centaurea nigra","Volume 19","Centaurea nigra"
"Centaurea stoebe","Volume 19","Centaurea stoebe"
"Centaurea stoebe subsp. micranthos","Volume 19","Centaurea stoebe subsp. micranthos"
"Centaurea ×moncktonii","Volume 19","Centaurea ×moncktonii"
"Cerastium arvense","Volume 5","Cerastium arvense"
"Cerastium arvense subsp. strictum","Volume 5","Cerastium arvense subsp. strictum"
"Cerastium fontanum","Volume 5","Cerastium fontanum"
"Cerastium fontanum subsp. vulgare","Volume 5","Cerastium fontanum subsp. vulgare"
"Cerastium glomeratum","Volume 5","Cerastium glomeratum"
"Cerastium pumilum","Volume 5","Cerastium pumilum"
"Cerastium semidecandrum","Volume 5","Cerastium semidecandrum"
"Cerastium tomentosum","Volume 5","Cerastium tomentosum"
"Ceratodon purpureus subsp. purpureus","Volume 27","Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum","Volume 3","Ceratophyllum demersum"
"Ceratophyllum echinatum","Volume 3","Ceratophyllum echinatum"
"Chaenorhinum minus","Volume 17","Chaenorhinum minus"
"Chaenorhinum minus subsp. minus","Volume 17","Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata","Volume 8","Chamaedaphne calyculata"
"Chelidonium majus","Volume 3","Chelidonium majus"
"Chelone glabra","Volume 17","Chelone glabra"
"Chenopodium album","Volume 4","Chenopodium album"
"Chenopodium berlandieri","Volume 4","Chenopodium berlandieri"
"Chenopodium berlandieri var. macrocalycium","Volume 4","Chenopodium berlandieri var. macrocalycium"
"Chenopodium bonus-henricus","Volume 4","Chenopodium bonus-henricus"
"Chenopodium capitatum","Volume 4","Chenopodium capitatum"
"Chenopodium capitatum var. capitatum","Volume 4","Chenopodium capitatum var. capitatum"
"Chenopodium glaucum","Volume 4","Chenopodium glaucum"
"Chenopodium glaucum var. glaucum","Volume 4","Chenopodium glaucum var. glaucum"
