"","Volume","Taxon name"
"Clintonia borealis","Volume 26","Clintonia borealis"
"Coeloglossum viride","Volume 26","Coeloglossum viride"
"Comandra umbellata","Volume 12","Comandra umbellata"
"Comandra umbellata subsp. umbellata","Volume 12","Comandra umbellata subsp. umbellata"
"Comarum palustre","Volume 9","Comarum palustre"
"Comptonia peregrina","Volume 3","Comptonia peregrina"
"Conringia orientalis","Volume 7","Conringia orientalis"
"Convallaria majalis var. majalis","Volume 26","Convallaria majalis var. majalis"
"Conyza canadensis","Volume 20","Conyza canadensis"
"Coptis trifolia","Volume 3","Coptis trifolia"
"Corallorhiza maculata var. maculata","Volume 26","Corallorhiza maculata var. maculata"
"Corallorhiza maculata var. occidentalis","Volume 26","Corallorhiza maculata var. occidentalis"
"Corallorhiza trifida","Volume 26","Corallorhiza trifida"
"Corema conradii","Volume 8","Corema conradii"
"Cornus alternifolia","Volume 12","Cornus alternifolia"
"Cornus canadensis","Volume 12","Cornus canadensis"
"Cornus rugosa","Volume 12","Cornus rugosa"
"Cornus sericea","Volume 12","Cornus sericea"
"Corydalis sempervirens","Volume 3","Corydalis sempervirens"
"Corylus cornuta subsp. cornuta","Volume 3","Corylus cornuta subsp. cornuta"
"Cotula coronopifolia","Volume 19","Cotula coronopifolia"
"Crassula aquatica","Volume 8","Crassula aquatica"
"Crataegus chrysocarpa","Volume 9","Crataegus chrysocarpa"
"Crataegus chrysocarpa var. chrysocarpa","Volume 9","Crataegus chrysocarpa var. chrysocarpa"
"Crataegus jonesiae","Volume 9","Crataegus jonesiae"
"Crataegus macrosperma","Volume 9","Crataegus macrosperma"
"Crataegus monogyna","Volume 9","Crataegus monogyna"
"Crataegus monogyna var. monogyna","Volume 9","Crataegus monogyna var. monogyna"
"Cryptogramma stelleri","Volume 2","Cryptogramma stelleri"
"Ctenidium molluscum","Volume 28","Ctenidium molluscum"
"Cyclachaena xanthiifolia","Volume 21","Cyclachaena xanthiifolia"
