"x"
"Leymus mollis subsp. villosissimus"
"Leymus salina"
"Leymus salina subsp. mojavensis"
"Leymus salina subsp. salina"
"Leymus salina subsp. salmonis"
"Limonium carolinianum"
"Limosella aquatica"
"Limosella australis"
"Linaria vulgaris"
"Lindernia dubia"
"Linum catharticum"
"Liparis loeselii"
"Listera auriculata"
"Listera convallarioides"
"Listera cordata var. cordata"
"Lolium"
"Lolium multiflorum"
"Lolium perenne"
"Luzula acuminata var. acuminata"
"Luzula multiflora"
"Luzula multiflora subsp. multiflora"
"Lycopodiella appressa"
"Lycopodiella inundata"
"Lycopodium annotinum"
"Lycopodium clavatum"
"Lycopodium dendroideum"
"Lycopodium hickeyi"
"Lycopodium lagopus"
"Lysimachia ciliata"
"Lysimachia maritima"
"Lysimachia nummularia"
"Lysimachia terrestris"
"Lysimachia thyrsiflora"
"Lysimachia vulgaris"
"Maianthemum canadense"
"Maianthemum racemosum subsp. racemosum"
"Maianthemum stellatum"
"Maianthemum trifolium"
"Malaxis monophyllos var. brachypoda"
"Malaxis unifolia"
"Malus pumila"
"Malva moschata"
"Malva neglecta"
"Malva parviflora"
"Malva pusilla"
"Malva verticillata"
"Matricaria discoidea"
"Matteuccia struthiopteris"
"Matteuccia struthiopteris var. pensylvanica"
"Medeola virginiana"
"Melampyrum lineare"
"Mimulus ringens"
"Mimulus ringens var. ringens"
"Mitella nuda"
"Mnium hornum"
"Mnium lycopodioides"
"Mnium spinulosum"
"Moehringia lateriflora"
"Moneses uniflora"
"Monotropa hypopitys"
"Monotropa uniflora"
"Montia fontana"
"Muhlenbergia"
"Muhlenbergia diversiglumis"
"Muhlenbergia glabrifloris"
"Muhlenbergia glomerata"
"Muhlenbergia sericea"
"Myrica gale"
"Myrica pensylvanica"
"Najas flexilis"
"Nasturtium microphyllum"
"Nasturtium officinale"
"Nuphar variegata"
"Nuttallanthus canadensis"
"Nymphaea odorata"
"Nymphaea odorata subsp. odorata"
"Oclemena acuminata"
"Oclemena nemoralis"
"Oclemena ×blakei"
"Odontites vulgaris"
"Omalotheca sylvatica"
"Oncophorus wahlenbergii"
"Onoclea sensibilis"
"Orobanche uniflora"
"Orobanche uniflora subsp. uniflora"
"Orthilia secunda"
"Orthotrichum elegans"
"Orthotrichum obtusifolium"
"Orthotrichum sordidum"
"Orthotrichum speciosum"
"Oryzopsis"
"Oryzopsis asperifolia"
"Osmunda cinnamomea"
"Osmunda claytoniana"
"Osmunda regalis"
"Osmunda regalis var. spectabilis"
"Ostrya virginiana"
"Oxalis corniculata"
"Oxalis dillenii"
"Oxalis montana"
"Oxalis stricta"
"Packera aurea"
"Packera paupercula"
"Packera schweinitziana"
"Panicum"
"Panicum capillare"
"Panicum capillare subsp. capillare"
"Panicum capillare subsp. hillmanii"
"Panicum gymnocarpon"
