"x"
"Dicranoweisia crispula"
"Dicranum bonjeanii"
"Dicranum condensatum"
"Dicranum elongatum"
"Dicranum flagellare"
"Dicranum fulvum"
"Dicranum fuscescens var. fuscescens"
"Dicranum leioneuron"
"Dicranum majus var. majus"
"Dicranum montanum"
"Dicranum ontariense"
"Dicranum polysetum"
"Dicranum scoparium"
"Dicranum spurium"
"Dicranum undulatum"
"Dicranum viride"
"Didymodon fallax"
"Didymodon rigidulus var. rigidulus"
"Digitalis purpurea"
"Digitalis purpurea subsp. purpurea"
"Digitaria"
"Digitaria bakeri"
"Digitaria didactyla"
"Digitaria ischaemum"
"Digitaria leucocoma"
"Digitaria sanguinalis"
"Digitaria tomentosa"
"Diphasiastrum complanatum"
"Diphasiastrum digitatum"
"Diphasiastrum sitchense"
"Diphasiastrum tristachyum"
"Diphyscium foliosum"
"Diplotaxis muralis"
"Diplotaxis tenuifolia"
"Dirca palustris"
"Discelium nudum"
"Distichium capillaceum"
"Distichlis"
"Distichlis spicata"
"Ditrichum flexicaule"
"Ditrichum lineare"
"Ditrichum pallidum"
"Ditrichum pusillum"
"Ditrichum rhynchostegium"
"Doellingeria umbellata"
"Doellingeria umbellata var. umbellata"
"Draba arabisans"
"Draba glabella"
"Draba norvegica"
"Drepanocladus aduncus"
"Drepanocladus polygamus"
"Drepanocladus sordidus"
"Drosera filiformis"
"Drosera intermedia"
"Drosera rotundifolia"
"Drummondia prorepens"
"Dryopteris campyloptera"
"Dryopteris carthusiana"
"Dryopteris cristata"
"Dryopteris filix-mas"
"Dryopteris fragrans"
"Dryopteris intermedia"
"Dryopteris marginalis"
"Dulichium arundinaceum"
"Dulichium arundinaceum var. arundinaceum"
"Dysphania botrys"
"Echinochloa"
"Echinochloa crus-galli"
"Echinochloa muricata"
"Echinochloa muricata var. microstachya"
"Echinochloa muricata var. muricata"
"Echinochloa oryzicola"
"Echinochloa pyramidalis"
"Echinocystis lobata"
"Elatine minima"
"Eleocharis acicularis"
"Eleocharis elliptica"
"Eleocharis fallax"
"Eleocharis flavescens"
"Eleocharis flavescens var. olivacea"
"Eleocharis nitida"
"Eleocharis obtusa"
"Eleocharis ovata"
"Eleocharis palustris"
"Eleocharis parvula"
"Eleocharis quinqueflora"
"Eleocharis robbinsii"
"Eleocharis rostellata"
"Eleocharis tenuis"
"Eleocharis tenuis var. pseudoptera"
"Eleocharis tenuis var. tenuis"
"Eleocharis tuberculosa"
"Eleocharis uniglumis"
"Elodea canadensis"
"Elodium blandowii"
"Elodium paludosum"
"Elymus"
"Elymus alaskanus"
"Elymus alaskanus subsp. alaskanus"
"Elymus alaskanus subsp. hyperarcticus"
"Elymus ciliaris"
"Elymus curvatus"
"Elymus dahuricus"
"Elymus hystrix"
"Elymus macgregorii"
"Elymus pringlei"
"Elymus repens"
"Elymus sierrae"
"Elymus trachycaulus"
"Elymus trachycaulus subsp. subsecundus"
"Elymus trachycaulus subsp. trachycaulus"
