"x"
"Puccinellia phryganodes"
"Puccinellia pumila"
"Puccinellia tenella"
"Pylaisia polyantha"
"Pylaisiadelpha tenuirostris"
"Pyrola asarifolia subsp. asarifolia"
"Pyrola chlorantha"
"Pyrola minor"
"Racomitrium lanuginosum"
"Raphanus raphanistrum"
"Raphanus sativus"
"Rhinanthus minor subsp. groenlandicus"
"Rhinanthus minor subsp. minor"
"Rhizomnium andrewsianum"
"Rhizomnium appalachianum"
"Rhizomnium gracile"
"Rhizomnium magnifolium"
"Rhizomnium pseudopunctatum"
"Rhizomnium punctatum"
"Rhodiola rosea"
"Rhynchospora capillacea"
"Rhynchospora fusca"
"Rhytidiadelphus subpinnatus"
"Rhytidiadelphus triquetrus"
"Rhytidium rugosum"
"Ribes glandulosum"
"Ribes lacustre"
"Ribes triste"
"Ribes uva-crispa"
"Rorippa palustris subsp. hispida"
"Rorippa palustris subsp. palustris"
"Rosulabryum capillare"
"Rubus arcticus subsp. acaulis"
"Rubus chamaemorus"
"Rubus idaeus subsp. strigosus"
"Rubus pubescens"
"Sagina caespitosa"
"Salix arctica"
"Salix arctophila"
"Salix argyrocarpa"
"Salix ballii"
"Salix bebbiana"
"Salix calcicola var. calcicola"
"Salix candida"
"Salix cordata"
"Salix discolor"
"Salix glauca var. cordifolia"
"Salix herbacea"
"Salix humilis var. humilis"
"Salix lucida"
"Salix pedicellaris"
"Salix pellita"
"Salix planifolia"
"Salix pyrifolia"
"Salix reticulata"
"Salix serissima"
"Salix uva-ursi"
"Salix vestita"
"Salsola tragus"
"Sanguisorba canadensis"
"Sanionia uncinata"
"Sarmentypnum exannulatum"
"Sarmentypnum sarmentosum"
"Sarracenia purpurea subsp. purpurea"
"Saxifraga aizoides"
"Saxifraga cespitosa"
"Saxifraga oppositifolia subsp. oppositifolia"
"Saxifraga paniculata"
"Saxifraga rivularis subsp. rivularis"
"Schedonorus"
"Schedonorus pratensis"
"Scheuchzeria palustris"
"Schizachne"
"Schizachne purpurascens"
"Schoenoplectus pungens"
"Schoenoplectus subterminalis"
"Schoenoplectus tabernaemontani"
"Scirpus atrocinctus"
"Scirpus cyperinus"
"Scirpus hattorianus"
"Scirpus microcarpus"
"Sciuro-hypnum plumosum"
"Sciuro-hypnum populeum"
"Sciuro-hypnum reflexum"
"Scorpidium revolvens"
"Scorpidium scorpioides"
"Senecio pseudoarnica"
"Senecio vulgaris"
"Sibbaldia procumbens"
"Sibbaldiopsis tridentata"
"Silene acaulis"
"Silene suecica"
"Sinapis arvensis"
"Solidago macrophylla"
"Solidago multiradiata"
"Solidago rugosa var. rugosa"
"Solidago uliginosa"
"Sonchus asper"
"Sorbus decora"
"Sparganium angustifolium"
"Sparganium emersum"
"Sparganium hyperboreum"
"Sparganium natans"
"Spiraea alba var. latifolia"
"Splachnum ampullaceum"
"Splachnum sphaericum"
"Splachnum vasculosum"
"Stellaria borealis subsp. borealis"
"Stellaria crassifolia"
"Stellaria graminea"
"Stellaria humifusa"
"Stellaria longifolia"
"Stellaria longipes subsp. longipes"
"Stellaria media"
"Straminergon stramineum"
"Streptopus amplexifolius"
"Streptopus lanceolatus"
"Stuckenia filiformis subsp. alpina"
"Stuckenia filiformis subsp. occidentalis"
"Subularia aquatica subsp. americana"
"Symphyotrichum novi-belgii var. novibelgii"
"Symphyotrichum puniceum var. puniceum"
"Taraxacum ceratophorum"
"Taraxacum lapponicum"
"Taraxacum officinale"
"Tayloria lingulata"
"Tayloria serrata"
"Tetraphis geniculata"
"Tetraphis pellucida var. pellucida"
"Tetraplodon angustatus"
"Tetraplodon mnioides"
"Tetraplodon pallidus"
"Thlaspi arvense"
"Tofieldia pusilla"
"Tomentypnum falcifolium"
"Tomentypnum nitens"
"Torreyochloa"
"Torreyochloa pallida"
